X,Y,insee,nom,wikipedia,surf_ha,icon_url,Effectifs avec Micro_Zone emploi,Effectifs avec Micro_Agroalimentaire,"Effectifs avec Micro_Bijouterie, joaillerie",Effectifs avec Micro_Bois,Effectifs avec Micro_Chimie,"Effectifs avec Micro_Conseil, ingénierie, recherche",Effectifs avec Micro_Construction/BTP/Génie urbain/Architecture,Effectifs avec Micro_Eau et déchets,Effectifs avec Micro_Electrique/Electronique (dont optique),Effectifs avec Micro_Emballage,Effectifs avec Micro_Energie,"Effectifs avec Micro_Management, conseil, finances",Effectifs avec Micro_Mécanique-Métallurgie,Effectifs avec Micro_Meubles,"Effectifs avec Micro_Numérique, TIC, audiovisuel",Effectifs avec Micro_Papier-carton,Effectifs avec Micro_Plasturgie,"Effectifs avec Micro_Santé (dont pharmacie, technologies médicales, R&D en biotech)",Effectifs avec Micro_Sous-traitance industrielle,Effectifs avec Micro_Sous-traitance industrielle (coeur de l'activité),Effectifs avec Micro_Sport / Loisirs,Effectifs avec Micro_Textile-habillement-cuir chaussures,Effectifs avec Micro_Tourisme,Effectifs avec Micro_Transport de marchandises/Logistique,Effectifs avec Micro_(vide)
4.35138685718253,45.4689524276296,"42330",Villars,fr:Villars (Loire),569.000000000000000,./0.png,Saint Etienne,"15",,,,"3","141","0",,,"128","28","55",,"6","3",,,"0",,"9","21","216","125","1138"
4.75737952323065,45.4738606831637,"69064",Condrieu,fr:Condrieu,921.000000000000000,./0.png,Vienne-Annonay,"13",,,,"2","46",,,,"86","28","6","0","1",,,,"0",,"1",,"93","68","171"
4.08963271486992,45.4858422151549,"42060",Chenereilles,fr:Chenereilles (Loire),918.000000000000000,./0.png,Saint Etienne,,,,,"0","0",,,,,"0",,,,,,,,,,,"3",,"0"
4.71547370311132,45.4784295192353,"42051",La Chapelle-Villars,fr:La Chapelle-Villars,828.000000000000000,./0.png,Vienne-Annonay,"0",,"0",,"0","12",,,,"0","0","0",,"0",,,,,,,,"1",,"2"
4.42366715961487,45.4785337455187,"42305",La Talaudière,fr:La Talaudière,769.000000000000000,./0.png,Saint Etienne,"533",,"0",,"16","467","221","30",,"0","94","478","10","230","170",,"1","196","57","1","21","53","481","920"
4.37349566267361,45.4756041414976,"42275",Saint-Priest-en-Jarez,fr:Saint-Priest-en-Jarez,309.000000000000000,./0.png,Saint Etienne,"77",,,,"61","368","12","9",,"0","196","24","0","7","31","0","4","20",,"48","7","191","151","1953"
3.82152324928682,45.7075416133506,"42039",Chalmazel-Jeansagnière,fr:Chalmazel-Jeansagnière,5311.000000000000000,./0.png,La Plaine du Forez,"3",,,,"1","33",,,,"0",,,,,,,,,,"2","0","7",,"7"
3.93407718395527,45.3915925175504,"42318",Usson-en-Forez,fr:Usson-en-Forez,4728.000000000000000,./0.png,Saint Etienne,"3",,"2",,"0","21",,"34",,"0","15","0",,,,,,"2",,"1","0","4","0","23"
3.99413222068329,45.39224764549,"42006",Apinac,fr:Apinac,1555.000000000000000,./0.png,Saint Etienne,"1",,,,"0","5",,,,,"0",,,"0",,,,,,,,,"2","0"
3.9210893343867,45.6161568896429,"42188",Roche,fr:Roche (Loire),2320.000000000000000,./0.png,La Plaine du Forez,,,,,,"0",,,,,,,,,,,,"0",,,,,,"0"
3.8600779119192,45.6640540588177,"42298",Sauvain,fr:Sauvain,3075.000000000000000,./0.png,La Plaine du Forez,"29",,"0",,,"0",,,,"0",,,,,,,,,,,,"1","3","5"
4.50204535376738,45.4700572128291,"42207",Saint-Chamond,fr:Saint-Chamond,5518.000000000000000,./0.png,Saint Etienne,"76","0","0",,"99","721","153","24",,"0","229","716","0","108",,"107","4","171","9","33","231","228","459","1754"
4.16769977692533,45.4894815125965,"42256",Saint-Marcellin-en-Forez,fr:Saint-Marcellin-en-Forez,3144.000000000000000,./0.png,Saint Etienne,"87",,"0","0","3","199","4","0",,"0","7","0",,"0",,,,,,"0","11","13","103","99"
3.94670846330177,45.5944190481309,"42121",Lérigneux,fr:Lérigneux,975.000000000000000,./0.png,La Plaine du Forez,,,,,"0","0",,,,"0",,,,,,,,,,,,"0",,"0"
3.99952658928669,45.6184211991289,"42089",Essertines-en-Châtelneuf,fr:Essertines-en-Châtelneuf,1520.000000000000000,./0.png,La Plaine du Forez,"2",,,,"8","11",,,,"0","0",,"0","1",,,"0",,,"0",,,"1","0"
3.97932397414966,45.6389223907084,"42054",Châtelneuf,fr:Châtelneuf (Loire),845.000000000000000,./0.png,La Plaine du Forez,,"0",,,,"10",,,,,,"5","2",,,,,,,,,,,"3"
4.24027347595451,45.63567847032,"42149",Montrond-les-Bains,fr:Montrond-les-Bains,1014.000000000000000,./0.png,Saint Etienne,"29","0",,,"4","263","48",,,"0","40","9",,"13",,,"0","4",,"71","1","128","136","419"
4.26457323731969,45.6467435968377,"42200",Saint-André-le-Puy,fr:Saint-André-le-Puy,870.000000000000000,./0.png,Saint Etienne,"61",,,,"1","0","0",,,"0","1","124",,"0",,,,,,,,"0","0","5"
4.30928669356896,45.6408900501669,"42013",Bellegarde-en-Forez,fr:Bellegarde-en-Forez,1910.000000000000000,./0.png,Saint Etienne,"1","0",,,"0","52",,,,"0","6","2",,,,,,,,,,"0","40","35"
